Restaurant ID,Restaurant Name,Country Code,City,Longitude,Latitude,Votes,Average Cost for two,Currency,Price range,Aggregate rating,Rating text,Cuisines
6317637,Le Petit Souffle,162,Makati City,121.027535,14.565443,314,1100,Botswana Pula(P),3,4.8,Excellent,"French, Japanese, Desserts"
6304287,Izakaya Kikufuji,162,Makati City,121.014101,14.553708,591,1200,Botswana Pula(P),3,4.5,Excellent,Japanese
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,121.056831,14.581404,270,4000,Botswana Pula(P),4,4.4,Very Good,"Seafood, Asian, Filipino, Indian"
6318506,Ooma,162,Mandaluyong City,121.056475,14.585318,365,1500,Botswana Pula(P),4,4.9,Excellent,"Japanese, Sushi"
6314302,Sambo Kojin,162,Mandaluyong City,121.057508,14.58445,229,1500,Botswana Pula(P),4,4.8,Excellent,"Japanese, Korean"
18189371,Din Tai Fung,162,Mandaluyong City,121.056314,14.583764,336,1000,Botswana Pula(P),3,4.4,Very Good,Chinese
6300781,Buffet 101,162,Pasay City,120.9796667,14.53133333,520,2000,Botswana Pula(P),4,4,Very Good,"Asian, European"
6301290,Vikings,162,Pasay City,120.9793333,14.54,677,2000,Botswana Pula(P),4,4.2,Very Good,"Seafood, Filipino, Asian, European"
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,120.98009,14.55299,621,6000,Botswana Pula(P),4,4.9,Excellent,"European, Asian, Indian"
6314987,Locavore,162,Pasig City,121.056532,14.572041,532,1100,Botswana Pula(P),3,4.8,Excellent,Filipino
6309903,Silantro Fil-Mex,162,Pasig City,121.057916,14.567689,1070,800,Botswana Pula(P),3,4.9,Excellent,"Filipino, Mexican"
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,121.06082,14.570849,488,900,Botswana Pula(P),3,4.2,Very Good,"American, Ice Cream, Desserts"
6318433,Silantro Fil-Mex,162,Quezon City,121.075419,14.649503,294,800,Botswana Pula(P),3,4.8,Excellent,"Filipino, Mexican"
6310470,Guevarra's,162,San Juan City,121.0335917,14.59345,458,1000,Botswana Pula(P),3,4.2,Very Good,Filipino
6314605,Sodam Korean Restaurant,162,San Juan City,121.03811,14.59889,223,700,Botswana Pula(P),3,4.3,Very Good,Korean
18185059,Cafe Arabelle,162,Santa Rosa,121.05704,14.237082,29,800,Botswana Pula(P),3,3.6,Good,"Cafe, American, Italian, Filipino"
18182702,Nonna's Pasta & Pizzeria,162,Santa Rosa,121.0565874,14.23767897,72,850,Botswana Pula(P),3,4,Very Good,"Italian, Pizza"
6318213,Balay Dako,162,Tagaytay City,120.951589,14.101834,211,1200,Botswana Pula(P),3,4.5,Excellent,Filipino
18255654,Hobing Korean Dessert Cafe,162,Taguig City,121.045878,14.55436,118,600,Botswana Pula(P),2,4.5,Excellent,"Cafe, Korean, Desserts"
